Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,EmployeeType,TenureOfEmployee,GradeOfEmployee,LeaveCount_wellnessOfEmployee,yearsOfEmployeement
29,No,Sales,2,2,Life Sciences,2,4,Single,4554,1,2,10,Permanent,20,D,16,7
55,No,Research & Development,20,2,Technical Degree,2,4,Married,5415,3,3,10,Permanent,17,B,6,12
26,No,Research & Development,11,2,Medical,1,1,Married,4741,1,3,5,Temp,16,B,3,5
37,No,Research & Development,1,3,Life Sciences,4,4,Single,2115,1,3,17,Permanent,8,A,25,2
44,Yes,Research & Development,24,3,Life Sciences,4,3,Divorced,3161,3,1,1,Permanent,25,C,25,7
38,No,Research & Development,23,4,Life Sciences,4,4,Divorced,5745,9,3,2,Permanent,4,C,7,18
26,Yes,Research & Development,16,4,Medical,1,2,Divorced,2373,2,3,3,Temp,25,A,8,9
28,No,Research & Development,8,2,Life Sciences,4,4,Single,3310,1,3,5,Permanent,18,B,6,3
49,No,Research & Development,10,4,Life Sciences,3,1,Single,18665,9,3,3,Temp,21,A,6,9
36,No,Research & Development,3,3,Technical Degree,3,2,Single,4485,4,3,8,Permanent,3,D,14,13
31,No,Sales,5,3,Marketing,4,2,Divorced,2789,1,2,2,Permanent,19,D,10,6
26,Yes,Sales,4,4,Marketing,4,4,Single,5828,1,3,8,Permanent,22,C,12,2
37,No,Research & Development,9,3,Medical,2,4,Married,2326,1,2,4,Temp,6,C,12,7
42,No,Sales,26,3,Marketing,3,2,Married,13525,5,4,20,Temp,8,B,22,13
18,Yes,Research & Development,3,3,Life Sciences,3,3,Single,1420,1,3,0,Permanent,15,B,16,5
35,No,Sales,16,3,Marketing,3,2,Married,8020,0,2,11,Permanent,15,B,12,0
36,No,Research & Development,18,4,Life Sciences,3,4,Married,3688,4,3,1,Permanent,25,C,9,4
51,No,Research & Development,2,3,Medical,4,2,Divorced,5482,5,3,4,Permanent,16,B,24,10
41,No,Sales,2,4,Life Sciences,4,2,Single,16015,1,3,22,Permanent,13,B,29,4
18,No,Sales,10,3,Medical,4,3,Single,1200,1,3,0,Permanent,10,B,13,5
28,No,Research & Development,16,2,Medical,2,1,Single,5661,0,3,8,Permanent,11,A,10,10
31,No,Sales,7,3,Technical Degree,2,4,Married,6929,4,2,8,Permanent,14,B,26,13
39,No,Research & Development,1,3,Medical,3,4,Divorced,9613,0,2,18,Permanent,11,B,0,9
36,No,Research & Development,24,4,Life Sciences,2,2,Married,5674,7,3,9,Temp,9,C,25,14
32,No,Sales,7,3,Life Sciences,4,3,Married,5484,1,2,13,Permanent,4,A,20,10
38,No,Research & Development,25,2,Life Sciences,1,2,Married,12061,3,3,10,Permanent,25,D,22,10
58,No,Research & Development,1,4,Life Sciences,4,3,Divorced,5660,2,3,5,Permanent,4,D,25,9
31,No,Research & Development,5,4,Technical Degree,3,4,Married,4821,0,3,5,Permanent,2,A,20,6
31,No,Human Resources,2,3,Human Resources,1,1,Married,6410,3,3,2,Permanent,5,B,15,6
45,No,Research & Development,7,3,Life Sciences,1,1,Divorced,5210,1,3,24,Permanent,20,B,8,2
31,No,Research & Development,2,4,Life Sciences,3,4,Divorced,2695,0,1,2,Temp,19,B,12,0
33,No,Research & Development,5,4,Life Sciences,4,2,Married,11878,6,3,10,Permanent,5,B,7,11
39,No,Research & Development,10,1,Medical,3,1,Married,17068,1,3,21,Temp,4,C,19,4
43,No,Research & Development,10,4,Life Sciences,3,4,Single,2455,0,3,8,Permanent,23,A,18,0
49,No,Research & Development,1,2,Technical Degree,3,3,Single,13964,7,3,7,Temp,24,A,5,9
52,Yes,Research & Development,8,4,Medical,3,2,Married,4941,2,2,8,Permanent,14,D,6,6
27,No,Research & Development,5,3,Life Sciences,3,2,Single,2478,1,2,4,Temp,25,C,14,3
32,No,Sales,8,2,Technical Degree,3,2,Married,5228,1,3,13,Temp,22,B,26,8
27,No,Sales,2,3,Life Sciences,4,3,Single,4478,1,3,5,Permanent,10,C,16,8
31,No,Sales,7,3,Marketing,4,4,Divorced,7547,4,3,7,Permanent,23,D,1,4
32,No,Research & Development,2,4,Medical,1,4,Single,5055,7,2,7,Permanent,11,B,6,7
28,Yes,Research & Development,2,4,Medical,1,4,Married,3464,5,2,3,Permanent,4,D,6,15
30,No,Research & Development,28,2,Medical,4,4,Married,5775,1,3,10,Permanent,24,A,19,1
31,No,Research & Development,7,2,Life Sciences,3,3,Married,8943,1,3,10,Temp,19,B,3,6
39,No,Research & Development,7,2,Medical,3,4,Married,19272,1,3,21,Temp,21,D,16,11
39,Yes,Sales,3,2,Medical,4,3,Married,5238,4,2,1,Permanent,3,A,9,4
33,No,Sales,10,3,Marketing,2,4,Single,4682,3,2,7,Permanent,21,B,11,12
47,No,Research & Development,5,5,Life Sciences,4,3,Married,18300,4,3,3,Temp,4,B,29,12
43,No,Research & Development,10,4,Life Sciences,3,3,Divorced,5257,1,4,9,Permanent,20,D,24,7
27,No,Sales,1,1,Marketing,3,2,Married,6349,0,3,5,Permanent,2,A,20,6
54,No,Research & Development,20,4,Life Sciences,4,3,Single,4869,3,2,4,Temp,8,B,25,12
43,No,Research & Development,7,3,Life Sciences,3,1,Married,9985,8,2,1,Permanent,12,B,19,15
45,No,Research & Development,8,4,Other,4,4,Married,3697,9,3,10,Permanent,22,D,8,11
40,No,Sales,1,2,Medical,2,4,Married,7457,2,2,4,Permanent,5,D,9,8
29,Yes,Research & Development,8,4,Other,2,1,Married,2119,1,2,7,Permanent,4,B,9,8
29,No,Research & Development,9,5,Other,2,4,Single,3983,0,3,3,Temp,24,D,1,5
30,No,Sales,5,3,Marketing,4,3,Divorced,6118,1,3,10,Permanent,5,D,22,1
27,No,Sales,8,4,Marketing,2,2,Married,6214,1,3,8,Temp,24,A,25,4
37,No,Research & Development,5,2,Medical,4,4,Divorced,6347,7,2,6,Temp,14,B,22,14
38,No,Research & Development,15,2,Life Sciences,3,4,Divorced,11510,0,3,11,Permanent,8,B,2,7
31,No,Research & Development,7,4,Medical,3,4,Single,7143,1,2,11,Permanent,11,A,22,5
29,No,Sales,10,1,Marketing,4,2,Divorced,8268,1,3,7,Permanent,18,B,4,3
35,No,Research & Development,5,4,Technical Degree,3,2,Single,8095,0,3,16,Permanent,15,D,17,6
23,No,Research & Development,26,1,Life Sciences,3,4,Divorced,2904,1,2,4,Permanent,18,D,1,10
41,No,Research & Development,6,3,Medical,4,2,Single,6032,6,3,5,Permanent,21,D,7,7
47,No,Sales,4,1,Medical,2,3,Single,2976,3,3,0,Permanent,4,D,0,7
42,No,Research & Development,23,5,Life Sciences,1,4,Single,15992,2,3,1,Permanent,16,A,17,2
29,No,Sales,2,3,Life Sciences,4,3,Married,4649,1,2,4,Permanent,25,C,30,6
42,No,Human Resources,2,1,Technical Degree,3,3,Divorced,2696,0,3,3,Temp,22,A,16,10
32,No,Research & Development,2,3,Medical,3,2,Married,2370,1,3,8,Permanent,13,C,10,5
48,No,Sales,29,1,Medical,1,3,Married,12504,3,1,0,Permanent,20,C,22,7
37,No,Research & Development,6,3,Medical,3,1,Divorced,5974,4,3,7,Temp,5,C,10,7
30,No,Sales,25,2,Technical Degree,4,3,Married,4736,7,4,2,Temp,3,B,0,16
26,No,Sales,1,3,Life Sciences,3,3,Married,5296,1,3,8,Temp,9,B,23,2
42,No,Research & Development,2,4,Other,1,4,Single,6781,3,3,1,Temp,16,B,24,11
21,Yes,Sales,1,1,Technical Degree,1,2,Single,2174,1,3,3,Permanent,24,D,18,6
36,No,Sales,1,5,Medical,4,4,Single,6653,4,3,1,Temp,12,C,5,10
36,No,Sales,3,4,Medical,1,4,Married,9699,4,3,13,Permanent,25,D,19,7
57,No,Research & Development,1,4,Medical,4,3,Married,6755,2,3,3,Temp,2,D,0,3
40,No,Research & Development,10,4,Life Sciences,4,3,Married,2213,3,3,7,Permanent,21,D,15,13
21,No,Sales,9,2,Medical,1,4,Single,2610,1,2,3,Temp,5,B,25,3
33,Yes,Sales,5,3,Marketing,4,3,Single,2851,1,3,1,Permanent,9,C,14,3
37,No,Research & Development,10,3,Medical,3,1,Married,3452,6,3,5,Permanent,4,C,8,10
46,No,Research & Development,7,4,Medical,3,3,Married,5258,2,4,1,Permanent,15,D,14,6
41,Yes,Sales,4,3,Marketing,1,2,Single,9355,1,3,8,Permanent,12,B,11,7
50,No,Research & Development,10,3,Technical Degree,4,4,Single,10496,6,3,4,Temp,12,D,8,7
40,Yes,Sales,22,2,Marketing,3,3,Married,6380,2,3,6,Permanent,13,D,1,4
31,No,Research & Development,9,4,Life Sciences,3,2,Single,2657,0,3,2,Permanent,24,D,6,9
21,Yes,Sales,12,3,Life Sciences,3,2,Single,2716,1,3,1,Permanent,21,A,23,7
29,No,Research & Development,23,3,Life Sciences,4,4,Single,2201,9,3,3,Permanent,10,A,14,13
35,No,Research & Development,9,4,Life Sciences,3,2,Single,6540,9,3,1,Permanent,3,D,15,9
27,No,Research & Development,1,2,Medical,4,2,Divorced,3816,1,3,5,Permanent,22,A,30,6
28,No,Sales,9,4,Life Sciences,2,4,Single,5253,1,3,7,Permanent,8,A,26,4
49,No,Research & Development,7,3,Other,2,3,Single,10965,8,3,5,Temp,20,B,23,15
51,No,Sales,14,2,Life Sciences,3,4,Married,4936,4,2,7,Permanent,23,D,0,6
36,No,Research & Development,2,3,Life Sciences,4,3,Married,2543,4,3,2,Temp,2,C,1,10
34,Yes,Sales,19,3,Marketing,1,4,Single,5304,8,2,5,Permanent,10,B,10,11
55,No,Research & Development,2,3,Life Sciences,3,4,Single,16659,2,3,5,Permanent,13,A,30,10
24,No,Sales,10,4,Marketing,4,3,Divorced,4260,1,4,5,Temp,3,D,3,6
30,No,Sales,2,1,Technical Degree,3,2,Married,2476,1,3,1,Permanent,8,A,26,7
26,Yes,Research & Development,3,1,Technical Degree,3,1,Single,3102,0,3,6,Permanent,15,C,5,8
22,No,Research & Development,11,3,Medical,1,2,Married,2244,1,3,2,Permanent,20,A,28,6
36,No,Sales,2,2,Medical,2,3,Married,7596,1,3,10,Temp,9,A,16,9
30,Yes,Research & Development,4,3,Technical Degree,3,4,Single,2285,9,3,1,Permanent,12,C,1,11
37,No,Research & Development,14,3,Life Sciences,4,1,Divorced,3034,1,2,18,Temp,4,D,25,11
40,No,Sales,2,2,Marketing,4,2,Divorced,5715,7,3,5,Temp,10,B,10,14
42,No,Research & Development,1,4,Life Sciences,2,1,Divorced,2576,3,3,5,Permanent,5,D,23,12
37,No,Research & Development,10,4,Life Sciences,3,2,Single,4197,2,2,1,Temp,13,B,26,3
43,No,Research & Development,12,3,Life Sciences,1,2,Divorced,14336,1,3,25,Permanent,17,B,28,1
40,No,Research & Development,2,3,Medical,2,3,Married,3448,6,3,1,Temp,9,A,23,14
54,No,Research & Development,5,2,Medical,1,1,Married,19406,4,2,4,Permanent,19,D,18,10
34,No,Sales,4,4,Marketing,3,3,Married,6538,9,3,3,Temp,14,D,1,19
31,No,Research & Development,7,2,Medical,2,1,Married,4306,1,1,13,Permanent,24,B,3,5
43,No,Research & Development,21,3,Medical,4,4,Married,2258,7,3,3,Permanent,2,C,27,7
43,No,Research & Development,8,4,Other,3,3,Divorced,4522,4,3,5,Temp,8,A,3,5
25,No,Sales,4,2,Life Sciences,2,4,Single,4487,1,3,5,Permanent,18,D,10,2
37,No,Research & Development,25,5,Medical,2,3,Married,4449,3,3,13,Temp,2,D,8,5
31,No,Research & Development,1,2,Life Sciences,4,1,Married,2218,1,3,4,Permanent,16,C,16,5
39,No,Research & Development,1,1,Life Sciences,2,3,Divorced,19197,1,3,21,Temp,17,B,19,1
56,No,Sales,6,3,Life Sciences,3,1,Married,13212,9,2,7,Permanent,18,D,29,10
30,No,Sales,12,3,Technical Degree,2,3,Single,6577,0,3,5,Permanent,23,C,3,0
41,No,Sales,1,3,Marketing,2,1,Married,8392,1,3,10,Permanent,24,D,25,5
28,No,Research & Development,17,2,Medical,3,1,Divorced,4558,1,3,10,Permanent,19,C,13,5
25,Yes,Research & Development,3,3,Medical,1,1,Married,4031,5,3,2,Permanent,6,C,20,8
52,No,Research & Development,3,3,Medical,4,3,Married,7969,2,3,5,Permanent,25,D,5,3
45,No,Research & Development,10,2,Life Sciences,1,4,Married,2654,3,2,2,Permanent,6,D,29,4
52,No,Research & Development,4,2,Life Sciences,4,4,Married,16555,2,1,5,Temp,22,B,27,12
42,No,Research & Development,29,2,Life Sciences,1,3,Divorced,4556,2,3,5,Permanent,20,B,27,9
30,No,Research & Development,2,3,Life Sciences,3,4,Single,6091,2,3,5,Permanent,2,B,2,9
60,No,Research & Development,7,3,Life Sciences,1,1,Married,19566,5,1,29,Permanent,13,D,24,11
46,No,Research & Development,18,3,Medical,3,3,Divorced,4810,2,2,10,Permanent,9,C,26,2
42,No,Research & Development,28,4,Technical Degree,4,4,Married,4523,0,4,6,Permanent,23,A,29,9
24,Yes,Sales,1,1,Technical Degree,1,2,Single,3202,1,3,5,Temp,18,B,12,6
34,Yes,Sales,6,2,Marketing,4,3,Divorced,2351,0,2,2,Temp,23,C,4,0
38,No,Research & Development,2,2,Life Sciences,4,4,Married,1702,1,3,1,Permanent,11,D,3,1
40,No,Sales,2,4,Life Sciences,3,3,Married,18041,0,3,20,Permanent,22,D,10,8
26,No,Research & Development,23,3,Life Sciences,1,4,Divorced,2886,1,1,3,Permanent,17,B,12,8
30,No,Research & Development,3,3,Life Sciences,3,4,Married,2097,4,1,5,Permanent,20,A,15,9
29,No,Research & Development,3,4,Medical,2,3,Married,11935,1,3,10,Permanent,9,D,6,7
29,Yes,Research & Development,25,5,Technical Degree,3,2,Married,2546,5,4,2,Permanent,16,D,19,10
19,Yes,Human Resources,2,2,Technical Degree,1,4,Single,2564,1,4,1,Temp,2,C,23,8
30,No,Sales,22,4,Other,3,1,Married,8412,0,3,9,Permanent,22,D,14,4
57,No,Sales,29,3,Marketing,1,4,Divorced,14118,3,2,1,Temp,4,B,23,10
50,No,Research & Development,29,4,Life Sciences,2,3,Married,17046,0,3,27,Permanent,2,D,19,5
30,No,Research & Development,2,3,Medical,3,4,Single,2564,0,2,11,Permanent,12,D,5,0
60,No,Sales,28,3,Marketing,3,1,Married,10266,4,4,18,Temp,20,D,11,11
47,No,Research & Development,2,2,Medical,1,4,Divorced,5070,5,3,5,Permanent,25,D,0,12
46,No,Research & Development,2,3,Life Sciences,1,3,Married,17861,6,1,3,Permanent,7,C,1,12
35,No,Research & Development,22,3,Life Sciences,4,3,Single,4230,0,3,5,Temp,4,A,20,0
54,No,Research & Development,8,4,Life Sciences,3,3,Single,3780,7,3,1,Temp,17,C,30,9
34,No,Research & Development,2,4,Life Sciences,4,3,Divorced,2768,3,3,7,Permanent,12,A,16,4
46,No,Sales,10,3,Marketing,3,4,Married,9071,2,3,3,Permanent,11,D,3,12
31,No,Research & Development,9,1,Life Sciences,3,2,Divorced,10648,1,4,13,Permanent,13,B,28,10
33,Yes,Research & Development,15,1,Medical,2,3,Married,13610,7,4,7,Permanent,9,D,28,15
33,Yes,Research & Development,10,1,Medical,1,4,Divorced,3408,7,3,4,Permanent,21,C,18,15
30,No,Sales,7,1,Marketing,4,2,Single,2983,0,3,3,Permanent,18,C,22,8
35,No,Research & Development,16,3,Life Sciences,4,3,Married,7632,4,3,8,Permanent,10,C,26,5
31,Yes,Research & Development,20,3,Life Sciences,1,3,Married,9824,3,3,1,Temp,17,C,14,7
34,Yes,Human Resources,23,3,Human Resources,2,1,Divorced,9950,9,3,3,Temp,6,D,29,12
42,No,Research & Development,5,2,Other,2,3,Married,2093,4,3,2,Permanent,10,C,15,14
36,No,Sales,10,4,Medical,2,4,Single,9980,1,2,10,Temp,16,B,30,5
22,Yes,Research & Development,4,1,Technical Degree,3,3,Single,3894,5,3,2,Permanent,10,B,28,9
48,No,Sales,2,5,Marketing,2,4,Married,4051,2,3,9,Permanent,16,A,20,10
55,No,Sales,18,5,Life Sciences,1,2,Single,16835,3,3,10,Temp,17,C,16,4
41,No,Sales,10,2,Life Sciences,4,4,Single,6230,7,3,14,Permanent,11,C,21,12
35,No,Sales,1,3,Marketing,2,3,Married,4717,9,3,11,Temp,15,A,23,18
40,No,Research & Development,6,3,Life Sciences,2,3,Single,13237,7,3,20,Temp,16,B,20,11
39,No,Research & Development,8,1,Life Sciences,3,3,Married,3755,1,3,8,Temp,24,A,7,3
31,No,Sales,2,1,Life Sciences,2,4,Single,6582,4,4,6,Permanent,22,B,18,8
42,No,Research & Development,24,3,Medical,4,1,Married,7406,1,2,10,Permanent,2,B,12,9
45,No,Sales,2,3,Other,4,2,Married,4805,0,4,8,Permanent,15,B,1,6
26,Yes,Human Resources,17,4,Life Sciences,2,3,Divorced,2741,0,2,7,Permanent,4,C,16,6
29,No,Research & Development,19,3,Technical Degree,4,4,Divorced,4262,4,4,3,Permanent,15,D,10,11
33,No,Research & Development,1,5,Medical,1,3,Divorced,16184,4,3,6,Permanent,20,A,3,5
31,No,Sales,7,3,Life Sciences,3,4,Divorced,11557,9,2,5,Permanent,12,C,9,17
18,Yes,Sales,5,3,Marketing,2,2,Single,1878,1,3,0,Temp,6,D,26,6
40,No,Sales,28,3,Other,3,1,Divorced,10932,3,3,1,Permanent,11,A,28,5
41,No,Research & Development,2,4,Other,1,3,Single,6811,2,3,8,Temp,6,B,3,10
26,No,Sales,29,2,Medical,1,3,Divorced,4306,5,3,0,Permanent,24,B,28,7
35,No,Sales,1,3,Medical,1,3,Single,4859,1,3,5,Permanent,2,C,3,8
34,No,Sales,21,4,Life Sciences,4,4,Single,5337,1,3,10,Temp,6,C,25,3
26,Yes,Research & Development,24,3,Technical Degree,3,4,Single,2340,1,1,1,Permanent,5,D,30,6
37,No,Research & Development,1,3,Technical Degree,2,4,Single,7491,4,4,6,Temp,4,A,17,4
46,No,Research & Development,18,1,Medical,1,3,Married,10527,5,2,2,Permanent,14,A,12,14
41,No,Sales,2,5,Life Sciences,2,1,Married,16595,7,3,18,Permanent,11,B,20,14
37,No,Sales,9,4,Medical,1,2,Divorced,8834,1,3,9,Temp,23,B,5,1
52,No,Research & Development,6,2,Technical Degree,4,1,Divorced,5577,3,3,10,Permanent,17,A,10,8
32,Yes,Sales,11,4,Other,4,3,Married,4707,8,3,4,Temp,21,A,11,9
24,No,Sales,24,3,Medical,4,4,Married,2400,0,3,2,Permanent,14,B,12,3
38,No,Research & Development,10,3,Medical,3,3,Married,9824,3,3,1,Temp,23,D,17,12
37,No,Research & Development,1,4,Life Sciences,2,2,Married,6447,6,2,6,Temp,24,D,2,14
49,No,Research & Development,18,4,Life Sciences,4,3,Divorced,19502,1,3,31,Permanent,21,A,0,10
24,No,Research & Development,23,3,Medical,2,4,Married,2725,1,3,6,Permanent,9,B,9,8
26,No,Sales,28,2,Marketing,1,2,Married,6272,1,4,5,Temp,13,A,14,11
24,No,Research & Development,17,2,Other,4,2,Married,2127,1,3,1,Temp,2,C,0,11
50,No,Human Resources,3,3,Medical,1,2,Married,18200,1,3,32,Permanent,8,D,14,7
25,No,Sales,13,1,Medical,2,3,Married,2096,1,3,7,Permanent,7,D,1,10
24,Yes,Research & Development,7,3,Life Sciences,1,3,Married,2886,1,3,6,Permanent,20,D,24,11
30,Yes,Sales,12,4,Life Sciences,2,1,Married,2033,1,4,1,Permanent,14,C,15,11
34,No,Research & Development,1,2,Life Sciences,2,4,Married,3622,1,3,6,Permanent,25,D,21,1
31,Yes,Sales,13,4,Medical,2,1,Divorced,4233,2,1,3,Permanent,19,C,6,12
35,No,Research & Development,25,2,Other,1,4,Single,3681,4,3,3,Permanent,24,D,26,11
31,No,Sales,6,4,Medical,1,4,Divorced,5460,4,4,7,Temp,14,B,22,14
27,No,Research & Development,6,4,Medical,1,3,Divorced,2187,0,2,5,Temp,11,D,27,4
37,No,Sales,2,3,Marketing,4,3,Married,9602,4,2,3,Permanent,4,A,8,13
20,No,Research & Development,1,3,Life Sciences,4,2,Single,2836,1,4,1,Temp,7,A,28,10
42,No,Research & Development,2,4,Life Sciences,3,4,Married,4089,1,3,10,Permanent,22,D,21,8
43,No,Research & Development,6,4,Other,2,4,Divorced,16627,4,2,1,Permanent,17,D,27,13
38,No,Research & Development,1,1,Life Sciences,3,1,Single,2619,3,2,0,Permanent,18,D,20,6
43,No,Research & Development,9,5,Medical,4,3,Divorced,5679,3,3,8,Permanent,19,B,19,5
48,No,Research & Development,1,4,Life Sciences,4,1,Married,15402,7,1,3,Permanent,19,C,8,16
44,No,Human Resources,1,4,Life Sciences,1,3,Single,5985,4,4,2,Permanent,15,C,28,7
34,No,Sales,14,3,Technical Degree,3,3,Divorced,2579,1,3,8,Temp,25,A,18,9
27,Yes,Sales,2,1,Marketing,3,1,Divorced,3041,0,3,4,Permanent,22,D,29,9
21,No,Sales,22,1,Technical Degree,3,3,Single,3447,1,3,3,Temp,10,A,13,5
44,No,Research & Development,3,4,Other,4,4,Married,19513,4,4,2,Temp,17,A,25,8
22,No,Research & Development,6,1,Medical,1,3,Married,2773,0,3,2,Permanent,25,A,6,0
33,No,Sales,8,4,Marketing,3,3,Divorced,7104,0,3,5,Permanent,2,B,15,2
32,No,Research & Development,9,4,Life Sciences,1,4,Married,6322,1,2,6,Permanent,13,B,23,1
30,No,Research & Development,3,3,Medical,3,3,Divorced,2083,1,3,1,Permanent,25,C,1,2
53,No,Sales,1,1,Medical,4,1,Single,8381,7,4,14,Permanent,8,B,19,12
34,No,Research & Development,1,5,Life Sciences,2,4,Married,2691,1,2,10,Permanent,7,A,3,2
45,Yes,Sales,26,4,Life Sciences,1,1,Married,4286,2,3,1,Permanent,10,C,17,7
26,No,Research & Development,6,3,Life Sciences,3,4,Married,2659,1,3,3,Temp,15,D,16,3
37,No,Research & Development,3,3,Other,3,3,Married,9434,1,3,10,Permanent,6,C,4,6
29,No,Sales,3,2,Medical,2,3,Married,5561,1,2,6,Permanent,3,B,16,4
35,No,Research & Development,6,4,Life Sciences,2,4,Single,6646,1,3,17,Permanent,24,A,11,4
33,No,Research & Development,6,3,Life Sciences,3,4,Divorced,7725,3,1,13,Permanent,16,C,21,3
54,No,Human Resources,19,4,Medical,3,2,Married,10725,2,4,9,Temp,11,B,18,2
36,No,Research & Development,9,2,Medical,2,2,Divorced,8847,2,3,3,Permanent,2,B,27,5
27,No,Research & Development,3,4,Medical,1,4,Single,2045,0,3,4,Permanent,19,B,17,0
20,Yes,Research & Development,10,1,Medical,4,3,Single,1009,1,3,1,Temp,9,A,25,2
33,Yes,Research & Development,3,3,Life Sciences,1,1,Single,3348,1,3,10,Permanent,9,A,20,11
35,No,Research & Development,3,3,Life Sciences,3,3,Married,1281,1,3,1,Permanent,25,B,5,7
23,No,Research & Development,4,3,Medical,1,1,Married,2819,2,4,3,Permanent,3,B,0,7
25,No,Sales,8,3,Life Sciences,4,2,Married,4851,0,3,3,Temp,4,A,12,9
38,No,Sales,7,4,Marketing,4,4,Single,4028,0,3,7,Permanent,15,C,13,2
29,No,Research & Development,1,4,Life Sciences,2,4,Divorced,2720,1,3,10,Permanent,16,B,0,8
48,No,Sales,2,1,Marketing,2,2,Married,8120,3,3,2,Permanent,3,B,29,4
27,No,Sales,3,1,Medical,4,4,Divorced,4647,1,3,6,Temp,18,A,9,4
37,No,Research & Development,10,2,Life Sciences,4,4,Single,4680,3,3,1,Permanent,3,C,0,4
50,No,Research & Development,28,1,Medical,4,3,Married,3221,1,3,20,Temp,2,C,16,3
34,No,Research & Development,9,3,Medical,4,2,Single,8621,1,4,8,Temp,18,D,24,4
24,Yes,Sales,3,2,Life Sciences,1,3,Single,4577,9,3,2,Permanent,14,D,11,9
39,No,Research & Development,2,4,Technical Degree,4,3,Single,4553,1,3,20,Permanent,12,B,24,3
32,No,Sales,10,3,Marketing,4,4,Single,5396,1,2,10,Permanent,3,A,16,9
50,Yes,Sales,8,2,Technical Degree,2,3,Married,6796,3,3,4,Permanent,11,B,20,4
38,No,Research & Development,1,4,Life Sciences,2,4,Single,7625,0,2,9,Temp,18,A,24,5
27,No,Research & Development,1,2,Life Sciences,3,1,Married,7412,1,3,9,Temp,8,A,1,2
32,No,Research & Development,3,2,Life Sciences,3,4,Single,11159,3,3,7,Permanent,23,C,20,13
47,No,Sales,14,4,Marketing,4,1,Single,4960,2,3,7,Permanent,15,A,19,6
40,No,Sales,5,4,Life Sciences,4,1,Married,10475,5,3,18,Temp,7,D,29,5
53,No,Research & Development,7,3,Life Sciences,3,3,Married,14814,3,3,5,Temp,2,D,12,9
41,No,Human Resources,10,4,Human Resources,2,4,Divorced,19141,3,2,21,Temp,16,D,13,6
60,No,Sales,16,4,Marketing,1,1,Single,5405,8,3,2,Permanent,25,B,1,11
27,No,Research & Development,10,2,Life Sciences,4,1,Divorced,8793,1,2,9,Permanent,10,D,8,11
41,No,Human Resources,1,3,Human Resources,4,3,Married,19189,1,3,22,Permanent,23,A,26,4
50,No,Sales,8,4,Marketing,4,2,Married,3875,7,3,2,Temp,8,D,29,9
28,Yes,Research & Development,1,2,Life Sciences,1,2,Single,2216,7,3,7,Temp,8,A,0,16
36,No,Research & Development,8,3,Life Sciences,1,1,Married,11713,9,3,8,Permanent,8,A,28,11
38,No,Research & Development,1,3,Life Sciences,3,3,Single,7861,4,4,1,Permanent,18,B,7,5
44,No,Research & Development,24,3,Medical,1,3,Single,3708,2,3,5,Permanent,24,C,7,5
47,No,Sales,3,3,Medical,4,3,Divorced,13770,9,2,22,Permanent,21,D,12,10
30,No,Sales,27,5,Marketing,3,4,Divorced,5304,7,2,8,Permanent,15,B,12,14
29,No,Sales,10,3,Life Sciences,3,3,Single,2642,1,3,1,Permanent,7,A,0,10
42,Yes,Research & Development,19,3,Medical,3,3,Divorced,2759,6,3,2,Temp,11,C,17,7
43,No,Sales,15,3,Life Sciences,4,4,Married,6804,3,3,2,Permanent,16,C,25,9
34,No,Research & Development,8,2,Medical,2,3,Single,6142,3,3,5,Temp,20,A,17,13
23,No,Research & Development,9,1,Medical,2,1,Married,2500,1,4,4,Permanent,3,C,13,8
39,No,Human Resources,3,3,Human Resources,3,2,Married,6389,9,1,8,Temp,2,B,27,10
56,No,Research & Development,9,3,Medical,3,4,Married,11103,7,2,10,Permanent,17,A,27,14
40,No,Research & Development,2,1,Medical,4,4,Single,2342,0,2,4,Permanent,20,C,13,5
27,No,Research & Development,7,3,Medical,4,1,Single,6811,8,1,7,Permanent,20,D,19,15
29,No,Sales,10,3,Marketing,4,2,Divorced,2297,1,3,2,Permanent,5,B,23,1
53,No,Research & Development,6,3,Life Sciences,4,4,Single,2450,2,3,2,Permanent,20,D,1,11
35,No,Research & Development,2,4,Life Sciences,4,1,Divorced,5093,2,4,1,Temp,15,D,4,11
32,No,Research & Development,24,4,Life Sciences,1,4,Married,5309,1,3,10,Permanent,4,C,4,5
38,No,Research & Development,2,5,Medical,4,3,Married,3057,6,1,1,Temp,14,A,24,10
34,No,Research & Development,8,5,Life Sciences,2,1,Divorced,5121,3,3,0,Temp,12,A,24,4
52,No,Sales,3,4,Marketing,3,1,Married,16856,1,4,34,Temp,22,B,9,2
33,Yes,Research & Development,1,4,Other,4,4,Single,2686,1,2,10,Permanent,9,D,28,2
25,No,Sales,26,1,Medical,3,4,Single,6180,1,2,6,Permanent,23,C,20,7
45,No,Sales,2,2,Technical Degree,2,3,Single,6632,0,3,8,Permanent,22,A,19,6
23,No,Research & Development,10,1,Medical,1,3,Single,3505,1,3,2,Temp,6,C,28,4
47,Yes,Sales,27,2,Life Sciences,2,3,Single,6397,4,3,5,Temp,16,C,19,10
34,No,Sales,2,3,Other,4,4,Single,6274,1,3,6,Temp,22,B,30,1
